word,part_of_speech,meaning,example,example_meaning,definition
ethnic,adjective,thuộc dân tộc,"My family belongs to the Ixil people, an ethnic group of Maya descent.","Gia đình tôi thuộc dân tộc Ixil, một nhóm người có tổ tiên là người Maya.","Of or relating to a group of people having common racial, national, religious or cultural origins."
intensity,noun,cường độ,High Intensity Lighting is one example,Ánh sáng cường độ cao là một ví dụ,the quality of being intense
rigor,noun,rigour,It's being done in a rigorous manner.,Chúng được thực hiện rất nghiêm ngặt.,(US) Alternative spelling of rigour.
bogus,adjective,hư,"Hotch, we both know that suspension was bogus .","Hotch, 2 ta đều biết vụ đình chỉ là hư cấu.",Counterfeit or fake; not genuine.
psychosis,noun,chứng loạn tinh thần,"Mine psychosis , an acute fear of landmines, was rampant in the Portuguese forces.","Chứng loạn tinh thần mìn, là một nỗ lo cấp tính về mìn, đã lan tràn trong quân Bồ Đào Nha.","(psychology) A severe mental disorder, sometimes with physical damage to the brain, marked by a deranged personality and a distorted view of reality."
mute,adjective,câm,Ezekiel’s muteness implied that he was speechless as far as uttering words of prophetic significance to the Israelites was concerned.,Sự câm lặng của Ê-xê-chi-ên ngụ ý là ông đã không thốt ra những lời mang ý nghĩa tiên tri liên quan đến dân Y-sơ-ra-ên.,Silent; not making a sound.
eradication,noun,sự nhổ rễ,"Crime, Violence and Wickedness Eradicated :","Tội ác, hung bạo và gian ác bị diệt tận gốc :",The act of plucking up by the roots; a rooting out; extirpation; utter destruction.
forensic,adjective,pháp y,You called the forensics team?,Các cậu gọi đội giám định pháp y chưa?,Relating to the use of science and technology in the investigation and establishment of facts or evidence in a court of law.
carotid,adjective,động mạch cảnh,"Well, because I've seen what it does to a carotid artery.",Vì anh đã chứng kiến tác hại của nó với động mạch cảnh như thế nào rồi.,(anatomy) A number of major arteries in the head and neck.
palindrome,noun,hồi văn,Because it is a palindrome .,Đọc xuôi hay ngược đều giống nhau .,"A word, phrase, number or any other sequence of units which has the property of reading the same forwards as it does backwards, character for character, sometimes disregarding punctuation, capitalization and diacritics."
quorum,noun,số đại biểu quy định,Second Quorum of the Seventy,Đệ Nhị Nhóm Túc Số Thầy Bảy Mươi,"The minimum number of members required for a group to officially conduct business and to cast votes, often but not necessarily a majority or supermajority."
raffish,adjective,hèn hạ,,,Characterized by careless unconventionality; rakish.
terpsichorean,adjective,ca múa,Professor Some One's Terpsichorean Cats.,Giáo sư Cats Terpsichorean Một số Một.,(dance) Of or relating to dancing.
excavate,verb,khai quật,This street is from the Minoan level of the excavation .,Con đường này là ở mức kỷ Minoan của cuộc khai quật .,(transitive) To make a hole in (something); to hollow.
gourmand,noun,người phàm ăn,▪ “The culture celebrates what once it sanctioned [such as the so-called seven deadly sins]: parents encourage pride as essential to self-esteem; a group of self-rising French chefs has petitioned the Vatican that being a gourmand is no sin.,"▪ “Ngày nay, người ta hãnh diện về những điều mà trước đây bị xem là xấu hổ [như cái được gọi là “bảy mối tội đầu”]: Các bậc cha mẹ khuyến khích lòng kiêu ngạo là điều cần thiết cho lòng tự trọng; một nhóm bếp trưởng người Pháp to béo thỉnh cầu Vatican không quy việc tham ăn là tội lỗi.",A person who appreciates good food.
ratio,noun,tỷ lệ,The actual ratio depends on the ions present.,Tỷ lệ thực tế phụ thuộc vào các ion hiện diện.,A number representing a comparison between two things.
descendant,noun,con cháu,"According to these blessings, Gad’s descendants were to be a warlike race.","Theo những phước lành nầy, con cháu của Gát sẽ trở thành một dân tộc hiếu chiến.",descending from a biological ancestor
curse,verb,nguyền rủa,She cursed him for causing the accident.,Bà ấy nguyền rủa hắn vì đã gây ra tai nạn.,A supernatural detriment or hindrance; a bane.
prey,verb,mồi,Death seeks its prey .,Thần Chết đang tìm con mồi .,"(archaic) Anything, as goods, etc., taken or got by violence; anything taken by force from an enemy in war; spoil; booty; plunder."
evaporate,verb,bay hơi,"When you evaporate seawater, the first thing to crystallize out","Khi bạn làm nước biển bay hơi , thứ đầu tiên kết tinh",To transition from a liquid state into a gaseous state.
wound,verb,làm tổn thương,I'd more easily forgive his vanity had he not wounded mine.,Em sẽ dễ dàng tha thứ cho tính kiêu ngạo của anh ta để anh ta không thể làm tổn thương em.,"An injury, such as a cut or tear, to a (usually external) part of the body."
moisture,noun,độ ẩm,"As the water temperature increases, the wind velocity increases and the moisture content increases.","Và khi nhiệt độ nước tăng lên, vận tốc gió tăng lên và độ ẩm tăng lên.",A moderate degree of wetness. --Francis Bacon.
appreciate,verb,đánh giá cao,"I appreciate the bribe, but I intend on staying in that room.",Tôi đánh giá cao món quà của ông nhưng tôi vẫn sẽ ở trong căn phòng đó.,(transitive) to be grateful or thankful for.
toxic,adjective,độc hại,"Make me something pretty and toxic , like me.","Hãy làm cho ta cái gì đó xinh đẹp và độc hại , như ta.",(toxicology) Having a chemical nature that is harmful to health or lethal if consumed or otherwise entering into the body in sufficient quantities.
urge,verb,thúc giục,They were pulling for me and urging me to keep trying.,Họ đã hỗ trợ tôi và thúc giục tôi tiếp tục cố gắng.,A strong desire; an itch to do something.
cliff,noun,vách đá,And then they inter them up on these cliffs .,Và sau đó họ đặt họ treo trên các vách đá .,A vertical (or near vertical) rock face.
slope,adjective,độ dốc,And negative alpha is the slope of that line I showed you before.,Và Alpha âm chính là độ dốc của cái đường mà tôi đã cho bạn thấy trước đó.,An area of ground that tends evenly upward or downward.
increment,verb,số gia,"Cash deposits made daily in $ 9,000 increments .","Tiền gửi bằng tiền mặt hàng ngày trong 9,000 $ số gia tăng.",The action of increasing or becoming greater.
tangled,adjective,rối,"They told me he went overboard, tangled in the sails.",Họ kể với tôi anh ta ở trên mạn thuyền. Đã bị rối vào cánh buồm.,Simple past tense and past participle of tangle.
fascinated,adjective,,Fascinating .,Thật hấp dẫn .,Simple past tense and past participle of fascinate.
busybody,noun,người bao biện,Damned busybody !,Lo chuyện bao đồng .,"Someone who interferes with others; one who is nosy, intrusive or meddlesome."
solvent,adjective,Dung môi,"Any paint solvents , anything unhygienic?","Dung môi sơn, hay thứ gì đó hại sức khỏe?","A liquid that dissolves a solid, liquid, or gaseous solute, resulting in a solution."
consuming,adjective,chi phối,Negative habits have the potential to become consuming addictions.,Thói quen xấu có tiềm năng trở thành thói nghiện dễ chi phối .,Present participle of consume.
indisputable,adjective,không thể bàn cãi,The inspired penmen of the Bible recorded them as indisputable facts of history.,Những người viết Kinh-thánh được soi dẫn đã ghi lại những điều đó như là những sự kiện lịch sử không thể bàn cãi .,Not disputable; not open to question; obviously true
finery,noun,quần áo lộng lẫy,"Who clothed you in scarlet and finery ,","Người cho các cô y phục đỏ tươi và lộng lẫy ,",(obsolete) Fineness; beauty.
bunkum,noun,chuyện rỗng tuếch,,,(slang) senseless talk; nonsense; a piece of nonsense (countable)
waistcoat,noun,áo gi lê,"Now, I've made these into rather nice little waistcoats .","Bây giờ, tôi đã biến chúng thành những cái áo gi - lê khá đẹp.","(UK) A sleeveless, collarless garment worn over a shirt and under a suit jacket."
socket,noun,hốc,You can see the eye socket and you can see the little teeth in the front.,Bạn có thể thấy hốc mắt và những chiếc răng nhỏ ở phía trước.,(mechanics) An opening into which a plug or other connecting part is designed to fit (e.g.a light bulb socket).
cautious,adjective,thận trọng,Probably our people being overly cautious .,Có lẽ người của ta quá thận trọng .,careful; using or exercising caution; tentative
amplifier,noun,bộ khuếch đại,Sound Amplifier is already installed on your phone.,Bộ khuếch đại âm thanh đã được cài đặt trên điện thoại của bạn.,"Anything that amplifies, or makes something larger or more intense."
gluten-free,adjective,không có gluten,It's gluten - free .,Không có Gluten .,(of food) Containing no gluten.
interstellar,adjective,giữa các sao,Interstellar planets generate little heat and are not heated by a star.,Các hành tinh nằm giữa các sao thường phát ra ít nhiệt lượng cũng như chúng không nóng bằng một ngôi sao.,between the stars
condominium,noun,chế độ công quản,"One of these rules, for example, stated that: The contractors shall make the following statements: they are of French nationality, are not Jewish, nor married to Jewish in the sense of the laws and ordinances in force The president of the Conseil Représentatif des Institutions juives de France-Côte d'Azur, a Jewish association group, issued a strong condemnation labelling it ""the utmost horror"" when one of the inhabitants of such a condominium qualified this as an ""anachronism"" with ""no consequences"".","Ví dụ, một trong những quyết định đó, viết: Các nhà thầu sẽ thực hiện những tuyên bố sau: họ mang quốc tịch Pháp, không phải người Do Thái, không kết hôn với người Do Thái theo các nghĩa của luật pháp và nghị định đang có hiệu lực Chủ tịch CRIF-Côte d'Azur, một hội nhóm Do Thái, đã ra một lên án mạnh mẽ gọi nó là ""sự khiếp hãi cùng cực"" khi một trong những cư dân của một chế độ công quản đó gọi nó là một ""sự sai lầm"" mà ""không có hậu quả.""","(chiefly US) a building in which each unit is owned by an individual but the grounds, structure etc is owned jointly"
