word,pronunciation
dignity,/ˈdɪgnɪti/
saunter,/ˈsɔntə/
manuscript,/ˈmænjuskrɪpt/
reside,/rɪˈzaɪd/
sufficient,/səˈfɪʃɪnt/
warrant,/ˈwɒrənt/
admonition,/ædməˈnɪʃən/
digress,/daɪˈgrɛs/
pelt,/pɛlt/
reverie,/ˈrɛvəri/
bound,/baʊnd/
tranquil,/ˈtreɪŋkwɪl/
bracket,/ˈbrækɪt/
usher,/ˈʌʃə/
mongrel,/ˈmɑŋgrəl/
obscure,/ɒbˈskjʌ/
dialect,/ˈdaɪəlɛkt/
bereaved,/bɪˈrivd/
mesh,/mɛʃ/
daze,/deɪz/
supernatural,/supəˈnætʃrəl/
vivid,/ˈvɪvɪd/
stew,/stu/
shaft,/ʃɑft/
eerie,/ˈɪəri/
compel,/kəmˈpɛl/
sustenance,/ˈsʌstɪnɪns/
remote,/rəˈmʌʊt/
exotic,/ɛksˈɒtɪk/
caravan,/ˈkærəvæn/
disdain,/dɪsˈdeɪn/
abide,/əˈbaɪd/
subtle,/ˈsʌtəl/
valiantly,/ˈvæljəntli/
scornful,/ˈskɔnfəl/
stout,/staʊt/
crest,/krɛst/
variegated,/ˈvɛrɪɡeɪtəd/
oaf,/əʊf/
smug,/sməg/
flourish,/ˈflʌrɪʃ/
emanate,/ˈɛməneɪt/
pendant,/ˈpɛndɪnt/
strew,/stru/
render,/ˈrɛndə/
involuntarily,/ˌɪnvoʊˈlʌntəˌrɪli/
contented,/kənˈtɛntɪd/
vigorously,/ˈvɪgərəsli/
crisp,/krɪsp/
verbalize,/ˌvʌrbəˈlaɪz/
reluctantly,/rɪˈlʌktɪntli/
churn,/tʃən/
stake,/steɪk/
inert,/ɪnˈʌt/
determination,/dɪtəmɪˈneɪʃɪn/
carnival,/ˈkɑnɪvəl/
championship,/ˈtʃæmpiənʃɪp/
emancipation,/ɪmænsɪˈpeɪʃən/
endearment,/ɛnˈdɪəmənt/
federal,/ˈfɛdərəl/
founder,/ˈfaʊndə/
heliocentric,/ˈhiliəˌsɛntrɪk/
integration,/ɪntəˈgreɪʃən/
lunar,/ˈlunə/
predict,/prɪˈdɪkt/
quarterback,/ˈkwɔtəbæk/
renaissance,/ˈrɛnəsɑns/
album,/ˈælbəm/
asteroid,/ˈæstərɔɪd/
decipher,/dɪˈsaɪfə/
groundhog,/ˈgraʊndhɒg/
heroism,/ˈhɛrəʊɪzəm/
magnum opus,/ˌˈmægnəm ˌoʊpəs/
poultry,/ˈpʌʊltri/
stag,/stæg/
tariff,/ˈtærɪf/
tremor,/ˈtrɛmə/
vestigial,/vɛˈstɪdʒ(i)əl/
heist,/haɪst/
journal,/ˈdʒʌnəl/
outage,/ˈaʊtɪdʒ/
pothole,/ˈpɒthəʊl/
predator,/ˈprɛdətə/
prestigious,/prɪˈstɪdʒɪs/
rout,/raʊt/
seismologist,/ˌsɑɪzˈmɑləʤəst/
treasury,/ˈtrɛʒəri/
vermilion,/vərˈmɪljən/
albatross,/ˈælbətrɒs/
alligator,/ˈælɪgeɪtə/
auction,/ˈɔkʃɪn/
extravaganza,/ɛkstrævɪˈgænzə/
fatality,/feɪˈtælɪti/
kayak,/ˈkɑjæk/
mascot,/ˈmæskɒt/
polar,/ˈpʌʊlə/
altruistic,/ɒltruˈɪstɪk/
black hole,/blæk həʊl/
bronze,/brɒnz/
citizenship,/ˈsɪtɪzənʃɪp/
crow,/krəʊ/
fellowship,/ˈfɛləʊʃɪp/
lithium,/ˈlɪθiəm/
outbreak,/ˈaʊtbreɪk/
pharaoh,/ˈfɛroʊ/
policy,/ˈpɒlɪsi/
purge,/pədʒ/
abroad,/əˈbrɔd/
accommodation,/əkɒməˈdeɪʃən/
adventurous,/ədˈvɛntʃərəs/
board,/bɔd/
cottage,/ˈkɒtɪdʒ/
destination,/destɪˈneɪʃən/
foreign,/ˈfɒrən/
hostel,/ˈhɒstəl/
identification,/aɪdɛntɪfɪˈkeɪʃən/
international,/ɪntəˈnæʃənəl/
itinerary,/aɪˈtɪnərəri/
journey,/ˈdʒʌni/
local,/ˈlʌʊkəl/
luggage,/ˈlʌgɪdʒ/
overseas,/əʊvəˈsiz/
passport,/ˈpɑspɔt/
resort,/rɪˈzɔt/
safari,/səˈfɒri/
aviation,/eɪviˈeɪʃɛn/
collision,/kəˈlɪʒən/
commuter,/kəˈmjutə/
congestion,/kənˈdʒɛstʃɪn/
cruise,/kruz/
direction,/daɪˈrɛkʃən/
fare,/fɛ/
ferry,/ˈfɛəri/
locomotive,/ləʊkəˈmʌʊtɪv/
navigate,/ˈnævɪgeɪt/
pedestrian,/pəˈdɛstriən/
architecture,/ˈɑkɪtɛktʃə/
compound,/ˈkɒmpaʊnd/
